,Model Name,Epochs,Batch Size,Train Loss,Test Loss,Train Acc,Test Acc,Kappa,Comments
5,EfficientNet (Transfer Learning),35,128,0.0005182891618460417,0.016011957079172134,0.9987815618515015,0.968999981880188,0.9692857142857143,
2,CNN_Baseline2,44,128,0.025111868977546692,0.11167345196008682,0.9980062246322632,0.9679999947547913,0.9685714285714285,
1,CNN_Baseline,52,128,0.07441030442714691,0.261325478553772,0.9769605398178101,0.9273333549499512,0.9246428571428571,
3,VGGNet_Baseline,52,128,0.1646304577589035,0.2736731469631195,0.9996677041053772,0.9683333039283752,0.9628571428571429,
0,Baseline_Dense_Model,42,128,0.9149426817893982,1.4868890047073364,0.7158839106559753,0.5540000200271606,0.5278571428571428,
4,Resnet50,46,128,3.0426974296569824,3.611548900604248,0.9988923072814941,0.8756666779518127,0.8660714285714286,
